,BPC9,BPC10,BPC11,BPC12,BPC13,BPC14,BPC15,BPC16,BPCdem1,BPCdem2,indpt_EO,xdemWhite,demBlackBin,xdemHispBin,demRaceOther,age_18-34,age_35-44,age_45-64,age_65+,xeduc3_nocollege,xeduc3_bach,xeduc3_postgrad,xpid3_D,xpid3_I,xpid3_R,xsubVote20O_Biden,xsubVote20O_Trump,xsubVote20O_Other,xsubVote20O_NoVote,xdemGender_M,xdemGender_F
56,4,4,4,4,3,4,4,4,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
57,1,1,1,1,2,2,2,2,,,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0
58,1,1,1,1,2,1,1,1,0.0,,1,1.0,0.0,1.0,0.0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1
59,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
60,2,2,2,4,2,2,2,3,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
61,1,1,1,2,1,1,1,2,,1.0,1,1.0,0.0,0.0,0.0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0
62,2,2,2,4,2,2,2,4,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
63,5,5,5,5,2,2,2,2,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,1
64,5,5,5,5,5,5,5,5,,0.0,0,0.0,1.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
65,3,3,3,3,2,2,2,2,0.0,,0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1
66,4,4,4,4,4,4,4,4,,,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1
67,2,2,2,4,2,2,2,3,1.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
68,2,2,2,1,2,2,2,3,,0.0,1,0.0,0.0,1.0,1.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
69,1,1,2,3,2,1,2,3,1.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1
70,2,2,2,2,2,2,2,2,,1.0,1,0.0,1.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
71,3,2,2,4,1,1,1,1,,1.0,0,0.0,0.0,0.0,1.0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1
72,3,3,3,3,5,5,5,5,,0.0,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1
73,1,1,1,1,1,1,2,2,,1.0,1,1.0,0.0,0.0,0.0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
74,1,2,1,1,1,1,1,1,,0.0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
75,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
76,1,1,1,1,1,1,1,1,,1.0,0,0.0,1.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
77,2,2,2,3,2,2,1,1,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
78,2,2,2,3,2,2,2,2,,1.0,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
79,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
80,1,1,1,1,1,1,1,1,,1.0,1,1.0,0.0,0.0,0.0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1
81,2,2,4,4,2,2,2,3,1.0,,1,0.0,0.0,0.0,1.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
82,2,1,1,3,3,3,1,2,1.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0
83,3,2,5,3,3,3,3,3,1.0,,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1
84,2,1,1,1,1,1,1,2,,1.0,0,1.0,0.0,0.0,0.0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
85,1,1,1,1,1,1,1,1,,1.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
86,1,1,1,1,1,1,1,1,,1.0,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
87,2,3,3,3,2,3,3,4,,,1,0.0,1.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1
88,2,2,2,2,2,2,2,2,,1.0,1,0.0,1.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
89,1,1,1,1,1,1,1,1,,0.0,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
90,5,5,5,3,2,2,2,2,1.0,,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
91,2,3,4,3,4,5,3,4,,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
92,4,4,4,4,4,4,4,4,,,1,1.0,0.0,1.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
93,2,2,2,2,2,2,2,2,,1.0,0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,1
94,3,3,3,2,3,3,3,3,1.0,,1,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0
95,4,4,4,4,4,2,4,4,1.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
96,3,4,4,4,2,3,3,4,,1.0,0,0.0,0.0,1.0,1.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
97,1,1,2,1,1,1,1,1,,1.0,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
98,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
99,5,5,5,5,5,5,5,5,,1.0,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1
100,5,1,1,3,5,5,1,2,1.0,,0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1
101,2,2,2,2,2,2,2,2,0.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
102,1,1,1,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
103,4,4,4,4,2,2,2,3,1.0,,0,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
104,2,2,2,2,2,2,2,2,0.0,,1,1.0,0.0,0.0,0.0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1
105,4,2,4,3,2,5,2,3,0.0,,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1
106,5,5,5,5,4,3,3,3,,,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
107,2,2,3,3,3,2,3,4,0.0,,1,1.0,0.0,0.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
108,5,5,5,5,5,5,5,5,,,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1
109,1,1,1,1,1,1,1,1,,0.0,0,1.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1
110,1,1,2,1,1,1,1,1,,1.0,0,1.0,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1
111,2,3,3,2,2,2,2,2,1.0,,0,1.0,0.0,1.0,0.0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
